Severity,City,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Junction,Stop,Traffic_Signal,daytime
3,Denver,Adams_CO,CO,21.2,30,10,10.4,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Pacolet,Spartanburg_SC,SC,46,57,10,0,0,Cloudy,FALSE,FALSE,FALSE,day
2,Sacramento,Sacramento_CA,CA,88,35,10,14,0,Fair,FALSE,FALSE,TRUE,day
2,Jackson,Jackson_MI,MI,56,45,10,6,0,Fair,FALSE,FALSE,FALSE,day
3,San Francisco,San Francisco_CA,CA,55,67,10,5.8,0,Clear,FALSE,FALSE,FALSE,twilight
2,Cleveland,Cuyahoga_OH,OH,55.9,77,10,11.5,0.01,Light Rain,FALSE,FALSE,FALSE,day
4,Cortlandt Manor,Westchester_NY,NY,66,73,10,5.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Hastings,Washington_MN,MN,9.5,69,10,0,0,Overcast,FALSE,FALSE,TRUE,day
3,Virginia Beach,Virginia Beach_VA,VA,57,59,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
3,Longmont,Weld_CO,CO,51.8,94,4,0,0.02,Light Rain,FALSE,FALSE,FALSE,twilight
2,San Francisco,San Francisco_CA,CA,50,77,10,3.5,0,Clear,FALSE,FALSE,TRUE,night
3,Vista,San Diego_CA,CA,66,81,10,5.8,0,Overcast,TRUE,FALSE,FALSE,day
2,Sonora,Tuolumne_CA,CA,84,33,10,3,0,Fair,FALSE,FALSE,FALSE,day
2,San Diego,San Diego_CA,CA,55,72,10,0,0,Fair,FALSE,FALSE,FALSE,night
2,Belmont,Middlesex_MA,MA,24.1,48,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,Cupertino,Santa Clara_CA,CA,66,65,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,Flint,Genesee_MI,MI,73.9,53,10,11.5,0,Clear,FALSE,FALSE,FALSE,day
2,Phoenix,Maricopa_AZ,AZ,93,30,10,0,0,Clear,FALSE,FALSE,TRUE,day
2,Oklahoma City,Oklahoma_OK,OK,72,93,10,3,0,Mostly Cloudy,FALSE,TRUE,FALSE,night
2,Oakland Gardens,Queens_NY,NY,35.1,42,10,11.5,0,Mostly Cloudy,TRUE,FALSE,FALSE,day
2,Tulsa,Tulsa_OK,OK,46,73,8,6.9,0,Clear,FALSE,FALSE,FALSE,day
2,Sacramento,Sacramento_CA,CA,55.4,94,7,9.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,twilight
3,Ontario,San Bernardino_CA,CA,93,29,10,17,0,Fair,FALSE,FALSE,FALSE,day
3,Saint Matthews,Calhoun_SC,SC,48,93,1.8,6.9,0,Overcast,FALSE,FALSE,FALSE,day
2,Waukee,Dallas_IA,IA,84,63,10,16.1,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Baltimore,Baltimore County_MD,MD,84.2,55,10,8.1,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Anaheim,Orange_CA,CA,82.9,53,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
2,Grand Rapids,Kent_MI,MI,73.9,79,10,5.8,0,Overcast,FALSE,FALSE,TRUE,day
2,Raleigh,Wake_NC,NC,34,96,1.5,9.2,0,Light Drizzle,FALSE,FALSE,FALSE,day
2,Lisle,DuPage_IL,IL,71.1,36,9,16.1,0,Clear,FALSE,FALSE,FALSE,day
3,San Antonio,Bexar_TX,TX,84,29,10,15,0,Clear,TRUE,FALSE,TRUE,day
2,Bryn Mawr,Montgomery_PA,PA,50,87,7,4.6,0.03,Overcast,FALSE,FALSE,FALSE,twilight
2,Houston,Harris_TX,TX,71.6,100,3,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,King Of Prussia,Montgomery_PA,PA,78.8,47,10,4.6,0,Clear,TRUE,FALSE,FALSE,day
3,Los Angeles,Los Angeles_CA,CA,68,78,10,0,0,Clear,FALSE,FALSE,FALSE,day
4,Curtice,Ottawa_OH,OH,66,45,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
3,Saint Louis,St. Louis County_MO,MO,93.9,41,10,10.4,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Sacramento,Sacramento_CA,CA,52,77,10,0,0,Fair,FALSE,FALSE,FALSE,twilight
2,Pittsburg,Contra Costa_CA,CA,82,42,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
3,Flint,Genesee_MI,MI,24.1,69,9,18.4,0,Light Snow,FALSE,FALSE,FALSE,night
3,Chicago,Cook_IL,IL,48,48,10,20,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Reno,Storey_NV,NV,57,40,10,21,0,Partly Cloudy / Windy,FALSE,FALSE,FALSE,day
2,Weehawken,Hudson_NJ,NJ,73,49,10,3.5,0,Clear,FALSE,FALSE,TRUE,twilight
2,Daphne,Baldwin_AL,AL,81,94,10,7,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,San Francisco,San Francisco_CA,CA,60.1,55,10,21.9,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Inglewood,Los Angeles_CA,CA,65,68,10,10,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Staley,Randolph_NC,NC,64,90,10,14,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Seaside,Monterey_CA,CA,77,30,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,Glen Allen,Henrico_VA,VA,68,100,1.5,0,0,Clear,TRUE,FALSE,FALSE,day
3,Pittsburgh,Allegheny_PA,PA,62.1,96,10,10.4,0,Clear,FALSE,FALSE,FALSE,twilight
2,Waukegan,Lake_IL,IL,73,71,10,99,0,Clear,FALSE,FALSE,TRUE,day
2,Austin,Travis_TX,TX,102.9,27,10,4.6,0,Clear,FALSE,FALSE,TRUE,day
2,Humble,Harris_TX,TX,91,53,10,6,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Ashland,Jackson_OR,OR,64,72,10,3,0,Fair,FALSE,FALSE,FALSE,day
2,Pittsford,Monroe_NY,NY,56,77,10,16,0,Cloudy,FALSE,FALSE,FALSE,night
2,Cincinnati,Hamilton_OH,OH,86,35,10,15,0,Clear,FALSE,FALSE,FALSE,day
2,Rochester,Monroe_NY,NY,50,71,10,3,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,Covington,Kenton_KY,KY,34,79,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
3,Warwick,Kent_RI,RI,51,96,5,8,0,Cloudy,TRUE,FALSE,FALSE,day
2,Tampa,Hillsborough_FL,FL,78.8,39,10,4.6,0,Clear,FALSE,FALSE,TRUE,day
2,Corona,Riverside_CA,CA,57,88,2,5,0,Fog,FALSE,FALSE,FALSE,day
2,Wynnewood,Montgomery_PA,PA,41,40,10,10.4,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Charlotte,Mecklenburg_NC,NC,50,100,0.5,8.1,0.04,Heavy Rain,FALSE,FALSE,FALSE,day
2,Noblesville,Hamilton_IN,IN,34.7,93,10,13.8,0,Overcast,FALSE,FALSE,FALSE,day
3,Seal Beach,Orange_CA,CA,77.7,59,10,10.4,0,Scattered Clouds,TRUE,FALSE,FALSE,day
2,Tustin,Orange_CA,CA,71.1,61,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
2,Fort Lauderdale,Broward_FL,FL,77,94,10,5.8,0.02,Light Rain,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,34,64,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
2,Walterboro,Colleton_SC,SC,78.8,74,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
2,Glen Ellyn,DuPage_IL,IL,45,82,10,13.8,0,Overcast,FALSE,FALSE,TRUE,day
2,Alpharetta,Fulton_GA,GA,46.9,46,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
2,Lebanon,Lebanon_PA,PA,55.4,94,10,8.1,0,Light Rain,FALSE,FALSE,FALSE,night
3,Saint Augustine,St. Johns_FL,FL,78.8,78,7,9.2,0.53,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Nashville,Davidson_TN,TN,73.9,82,10,4.6,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Spicewood,Travis_TX,TX,58.6,53,10,15,0,Overcast,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,80.6,51,10,9.2,0,Scattered Clouds,FALSE,FALSE,TRUE,day
2,San Diego,San Diego_CA,CA,63,19,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
2,Chicago,Cook_IL,IL,32,100,1.2,4.6,0,Overcast,FALSE,FALSE,TRUE,day
2,San Jose,Santa Clara_CA,CA,45,80,5,6.9,0,Haze,FALSE,FALSE,FALSE,day
3,Dallas,Dallas_TX,TX,50,26,13,18.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,San Bernardino,San Bernardino_CA,CA,46.4,76,4,5.8,0,Rain,FALSE,FALSE,FALSE,night
2,San Antonio,Bexar_TX,TX,84,40,10,12,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Fremont,Alameda_CA,CA,50,94,10,0,0,Scattered Clouds,TRUE,FALSE,FALSE,night
2,Redmond,Deschutes_OR,OR,57,69,10,3,0,Fair,FALSE,FALSE,FALSE,day
3,Commerce,Los Angeles_CA,CA,57,59,10,0,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Tulsa,Tulsa_OK,OK,64,38,10,5,0,Fair,FALSE,FALSE,FALSE,twilight
4,Clarksburg,Harrison_WV,WV,72,78,10,6.9,0,Overcast,FALSE,FALSE,FALSE,day
3,Carson,Los Angeles_CA,CA,57.2,77,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Omaha,Douglas_NE,NE,78.1,71,10,0,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Bryan,Brazos_TX,TX,59.7,26,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Portland,Multnomah_OR,OR,66,78,6,6.9,0,Haze,FALSE,FALSE,FALSE,day
3,Tampa,Hillsborough_FL,FL,80.6,84,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Louisville,Jefferson_KY,KY,58,93,4,14,0.14,Heavy Rain,TRUE,FALSE,FALSE,twilight
2,Flint,Genesee_MI,MI,70,49,10,11.5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,New York,New York_NY,NY,46,20,10,6.9,0,Clear,TRUE,FALSE,TRUE,day
2,Miami,Miami-Dade_FL,FL,57.9,65,10,4.6,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Deerfield Beach,Broward_FL,FL,84,72,10,9,0,Fair,FALSE,FALSE,FALSE,day
2,Alexandria,Alexandria_VA,VA,44.1,43,10,3.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Fresno,Fresno_CA,CA,72,33,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
3,Houston,Harris_TX,TX,72,84,10,3.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
3,Milpitas,Santa Clara_CA,CA,64,84,3,0,0,Haze,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,89.6,55,10,6.9,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Penfield,Monroe_NY,NY,28,100,1.2,5.8,0,Light Snow,FALSE,FALSE,FALSE,twilight
3,Ferris,Ellis_TX,TX,48.7,90,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,San Jose,Santa Clara_CA,CA,84,31,10,12,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Miami Gardens,Miami-Dade_FL,FL,81,58,10,10.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Saint Paul,Ramsey_MN,MN,17,77,4,6,0,Haze,FALSE,FALSE,FALSE,day
2,Denver,Denver_CO,CO,50,82,20,4.6,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Carpinteria,Santa Barbara_CA,CA,63,84,8,0,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Del Valle,Travis_TX,TX,84,55,10,14,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Lombard,Dupage_IL,IL,64.9,56,10,6.9,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Norwalk,Los Angeles_CA,CA,78.1,52,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
2,West Lake Hills,Travis_TX,TX,86,67,10,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Cary,Wake_NC,NC,45,86,6,8.1,0,Light Rain,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,78.1,54,10,10.4,0,Partly Cloudy,FALSE,TRUE,FALSE,day
2,Ambler,Montgomery_PA,PA,60.8,94,4,3.5,0,Overcast,FALSE,FALSE,FALSE,day
2,Woodbine,Cape May_NJ,NJ,69.1,68,10,8.1,0,Overcast,FALSE,FALSE,FALSE,day
2,Baton Rouge,East Baton Rouge_LA,LA,64.9,70,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
2,Oklahoma City,Oklahoma_OK,OK,50,66,10,9.2,0,Clear,FALSE,FALSE,TRUE,twilight
3,El Paso,El Paso_TX,TX,95,14,10,7,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Detroit,Wayne_MI,MI,51.1,77,10,16.1,0.01,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Tooele,Tooele_UT,UT,65,40,10,6,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Riverside,Riverside_CA,CA,78.1,64,10,5.8,0,Scattered Clouds,FALSE,FALSE,FALSE,twilight
2,Sunnyvale,Santa Clara_CA,CA,75,28,5,9.2,0,Haze,FALSE,FALSE,FALSE,day
4,Three Rivers,Saint Joseph_MI,MI,45.9,79,10,4.6,0,Overcast,FALSE,FALSE,FALSE,day
2,Lexington,Fayette_KY,KY,71,81,10,3,0,Cloudy,FALSE,FALSE,FALSE,day
2,Sherman Oaks,Los Angeles_CA,CA,64,78,10,3.5,0,Overcast,TRUE,FALSE,FALSE,day
2,Saint Paul,Ramsey_MN,MN,65,87,10,7,0,Fair,FALSE,FALSE,FALSE,day
3,Spanish Fort,Baldwin_AL,AL,75,94,10,5.8,0.05,Light Rain,FALSE,FALSE,FALSE,day
2,Flint,Genesee_MI,MI,80.1,56,10,10.4,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Irving,Dallas_TX,TX,48,56,10,3.5,0,Clear,FALSE,FALSE,FALSE,twilight
3,Cranston,Providence_RI,RI,75.9,30,10,4.6,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Los Angeles,Los Angeles_CA,CA,82.9,58,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
3,Chicago,Cook_IL,IL,42.1,41,10,12.7,0,Partly Cloudy,TRUE,FALSE,FALSE,day
2,Ceres,Stanislaus_CA,CA,62,48,10,9,0,Mostly Cloudy,FALSE,FALSE,FALSE,twilight
2,Orlando,Orange_FL,FL,73.9,100,10,9.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Lafayette,Lafayette_LA,LA,62,72,10,0,0,Fair,FALSE,FALSE,FALSE,day
2,Prospect,Jackson_OR,OR,61,31,10,3,0,Fair,FALSE,FALSE,FALSE,twilight
2,Watsonville,Santa Cruz_CA,CA,34,85,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Indianapolis,Marion_IN,IN,42.1,51,10,9.2,0,Clear,FALSE,FALSE,FALSE,twilight
2,Houston,Harris_TX,TX,48.2,87,10,12.7,0,Overcast,FALSE,FALSE,FALSE,day
2,Oklahoma City,Oklahoma_OK,OK,66,79,10,13,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Wauconda,Lake_IL,IL,51.1,44,10,4.6,0,Clear,FALSE,FALSE,FALSE,twilight
2,Chatsworth,Los Angeles_CA,CA,70,51,10,14,0,Fair,FALSE,FALSE,FALSE,day
3,Baltimore,Baltimore County_MD,MD,30.2,64,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
2,Santa Rosa,Sonoma_CA,CA,60.1,90,10,5.8,0,Clear,FALSE,FALSE,FALSE,night
4,Casey,Clark_IL,IL,27,78,10,10.4,0,Overcast,FALSE,FALSE,FALSE,night
2,Raleigh,Wake_NC,NC,90,54,10,16,0,Cloudy,FALSE,TRUE,TRUE,day
2,Emeryville,Alameda_CA,CA,73,51,10,5.8,0,Overcast,FALSE,FALSE,TRUE,day
3,Oklahoma City,Oklahoma_OK,OK,90,57,10,24,0,Partly Cloudy / Windy,FALSE,FALSE,FALSE,day
2,Pflugerville,Travis_TX,TX,69.8,28,10,19.6,0,Clear,FALSE,FALSE,TRUE,day
2,Hattiesburg,Forrest_MS,MS,68,96,10,4.6,0,Overcast,FALSE,FALSE,FALSE,night
2,Dallas,Dallas_TX,TX,77,71,10,17.3,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Oklahoma City,Oklahoma_OK,OK,46.9,63,10,8.1,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Columbia,Richland_SC,SC,41,86,10,0,0,Overcast,FALSE,FALSE,FALSE,day
2,Cincinnati,Hamilton_OH,OH,81,42,10,15,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Apopka,Orange_FL,FL,50,54,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
4,Forest,Hancock_OH,OH,39,60,10,0,0,Overcast,FALSE,FALSE,FALSE,day
3,Round Lake,Lake_IL,IL,32,44,10,9.2,0,Clear,FALSE,FALSE,TRUE,day
2,North Hollywood,Los Angeles_CA,CA,80.1,9,10,3.5,0,Clear,TRUE,FALSE,FALSE,day
2,Roseburg,Douglas_OR,OR,43,86,10,3.5,0,Mostly Cloudy,TRUE,FALSE,FALSE,twilight
2,Perris,Riverside_CA,CA,92.7,17,10,10.4,0,Clear,FALSE,FALSE,FALSE,twilight
2,Fairview,Sanpete_UT,UT,74,15,10,6,0,Partly Cloudy,FALSE,FALSE,FALSE,night
2,Chicago,Cook_IL,IL,82.9,24,10,12.7,0,Partly Cloudy,FALSE,FALSE,TRUE,day
3,Lynwood,Los Angeles_CA,CA,56,34,10,3,0,Fair,FALSE,FALSE,FALSE,day
3,Raleigh,Wake_NC,NC,46,86,10,8,0,Cloudy,FALSE,FALSE,FALSE,day
