"StationID","Date","pH","PrecipAmt","PrecipType"
"Mt. Mansfield","1983-12-10","3.96","2.46","Snow"
"Mt. Mansfield","1983-12-14","5.00","2.40","Rain"
"Mt. Mansfield","1983-12-17","4.25","0.49","Snow"
"Mt. Mansfield","1983-12-25","4.55","1.08","Snow"
"Mt. Mansfield","1984-01-05","3.80","0.37","Snow"
"Mt. Mansfield","1984-01-07","3.92","0.31","Snow"
"Mt. Mansfield","1984-01-14","4.15","0.29","Snow"
"Mt. Mansfield","1984-02-06","4.60","0.70","Snow"
"Mt. Mansfield","1984-02-20","4.40","0.73","Snow"
"Mt. Mansfield","1984-03-06","4.00","0.46","Snow"
"Mt. Mansfield","1984-03-15","4.47","0.97","Snow"
"Mt. Mansfield","1984-03-22","4.80","0.25","Snow"
"Mt. Mansfield","1984-03-23","4.03","0.38","Snow"
"Mt. Mansfield","1984-03-30","5.55","0.50","Snow"
"Mt. Mansfield","1984-04-08","4.90","1.05","Snow"
"Mt. Mansfield","1984-04-14","4.33","0.20","Rain"
"Mt. Mansfield","1984-04-16","4.80","0.47","Rain"
"Mt. Mansfield","1984-04-18","3.83","0.02","Rain"
"Mt. Mansfield","1984-04-24","5.11","0.49","Rain"
"Mt. Mansfield","1984-04-25","5.20","0.90","Rain"
"Mt. Mansfield","1984-04-30","4.60","0.69","Rain"
"Mt. Mansfield","1984-05-04","4.71","0.62","Rain"
"Mt. Mansfield","1984-05-05","4.70","0.58","Snow"
"Mt. Mansfield","1984-05-08","4.45","0.23","Rain"
"Mt. Mansfield","1984-05-09","4.50","0.83","Rain"
"Mt. Mansfield","1984-05-12","4.25","1.45","Rain"
"Mt. Mansfield","1984-05-16","4.72","0.90","Snow"
"Mt. Mansfield","1984-05-20","4.10","0.91","Rain"
"Mt. Mansfield","1984-05-23","4.42","1.03","Rain"
"Mt. Mansfield","1984-05-29","4.65","2.51","Rain"
"Mt. Mansfield","1984-05-31","4.40","0.27","Rain"
"Mt. Mansfield","1984-06-04","4.88","0.19","Rain"
"Mt. Mansfield","1984-06-06","3.62","0.08","Rain"
"Mt. Mansfield","1984-06-07","4.10","2.48","Rain"
"Mt. Mansfield","1984-06-14","4.72","0.55","Rain"
"Mt. Mansfield","1984-06-19","4.20","0.44","Rain"
"Mt. Mansfield","1984-06-25","5.25","0.59","Rain"
"Mt. Mansfield","1984-06-28","4.00","0.05","Rain"
"Mt. Mansfield","1984-06-30","4.01","0.11","Rain"
"Mt. Mansfield","1984-07-07","4.40","3.08","Rain"
"Mt. Mansfield","1984-07-12","4.25","1.10","Rain"
"Mt. Mansfield","1984-07-16","4.02","0.44","Rain"
"Mt. Mansfield","1984-07-18","4.60","0.78","Rain"
"Mt. Mansfield","1984-07-19","4.25","0.75","Rain"
"Mt. Mansfield","1984-07-23","4.11","0.01","Rain"
"Mt. Mansfield","1984-07-27","4.34","0.28","Rain"
"Mt. Mansfield","1984-08-01","3.75","0.52","Rain"
"Mt. Mansfield","1984-08-07","4.12","1.32","Rain"
"Mt. Mansfield","1984-08-15","4.36","0.38","Rain"
"Mt. Mansfield","1984-08-23","4.11","0.83","Rain"
"Mt. Mansfield","1984-08-30","4.13","0.45","Rain"
"Mt. Mansfield","1984-09-06","4.44","0.27","Rain"
"Mt. Mansfield","1984-09-13","4.38","1.31","Rain"
"Mt. Mansfield","1984-09-14","4.44","1.12","Rain"
"Mt. Mansfield","1984-09-15","4.64","0.42","Rain"
"Mt. Mansfield","1984-09-17","4.64","0.12","Rain"
"Mt. Mansfield","1984-09-21","4.16","0.24","Rain"
"Mt. Mansfield","1984-09-26","4.30","1.45","Rain"
"Mt. Mansfield","1984-10-03","4.46","2.08","Rain"
"Mt. Mansfield","1984-10-04","5.56","1.10","Snow"
"Mt. Mansfield","1984-10-09","3.62","0.33","Rain"
"Mt. Mansfield","1984-10-19","3.40","0.12","Rain"
"Mt. Mansfield","1984-10-21","3.88","0.29","Rain"
"Mt. Mansfield","1984-10-23","3.72","0.01","Rain"
"Mt. Mansfield","1984-10-26","4.34","0.21","Rain"
"Mt. Mansfield","1984-10-27","3.78","0.20","Rain"
"Mt. Mansfield","1984-10-29","3.70","0.14","Rain"
"Mt. Mansfield","1984-11-02","3.86","0.22","Rain"
"Mt. Mansfield","1984-11-05","4.78","1.86","Rain"
"Mt. Mansfield","1984-11-10","4.12","0.40","Rain"
"Mt. Mansfield","1984-11-29","5.00","1.46","Snow"
"Mt. Mansfield","1984-12-01","4.44","0.45","Snow"
"Mt. Mansfield","1984-12-04","4.36","0.75","Snow"
"Mt. Mansfield","1984-12-08","3.96","1.15","Snow"
"Mt. Mansfield","1984-12-09","4.14","0.10","Snow"
"Mt. Mansfield","1984-12-16","4.02","0.39","Snow"
"Mt. Mansfield","1984-12-20","3.80","0.26","Snow"
"Mt. Mansfield","1985-01-01","4.89","0.50","Snow"
"Mt. Mansfield","1985-01-08","4.30","0.30","Snow"
"Mt. Mansfield","1985-01-12","4.44","0.10","Snow"
"Mt. Mansfield","1985-01-17","4.10","0.50","Snow"
"Mt. Mansfield","1985-01-18","4.51","0.12","Snow"
"Mt. Mansfield","1985-01-19","4.16","0.14","Snow"
"Mt. Mansfield","1985-01-24","4.30","1.39","Snow"
"Mt. Mansfield","1985-01-26","4.33","0.68","Snow"
"Mt. Mansfield","1985-01-28","3.98","0.29","Snow"
"Mt. Mansfield","1985-02-02","4.12","0.32","Snow"
"Mt. Mansfield","1985-02-03","4.62","0.15","Snow"
"Mt. Mansfield","1985-02-05","4.32","0.29","Snow"
"Mt. Mansfield","1985-02-06","4.62","0.23","Snow"
"Mt. Mansfield","1985-02-09","4.48","0.14","Snow"
"Mt. Mansfield","1985-02-16","4.12","0.13","Snow"
"Mt. Mansfield","1985-02-19","4.20","0.17","Snow"
"Mt. Mansfield","1985-02-23","4.20","0.84","Snow"
"Mt. Mansfield","1985-02-24","4.20","1.10","Snow"
"Mt. Mansfield","1985-02-26","4.80","0.17","Snow"
"Mt. Mansfield","1985-03-02","5.50","0.42","Snow"
"Mt. Mansfield","1985-03-06","5.44","1.25","Snow"
"Mt. Mansfield","1985-03-09","4.25","0.31","Snow"
"Mt. Mansfield","1985-03-12","4.66","0.83","Snow"
"Mt. Mansfield","1985-03-16","4.55","3.47","Snow"
"Mt. Mansfield","1985-03-21","4.69","0.16","Snow"
"Mt. Mansfield","1985-03-30","4.12","0.46","Snow"
"Mt. Mansfield","1985-04-04","4.60","2.58","Snow"
"Mt. Mansfield","1985-04-05","4.09","0.33",""
"Mt. Mansfield","1985-04-11","4.90","0.79",""
"Mt. Mansfield","1985-04-18","4.40","0.82",""
"Mt. Mansfield","1985-04-27","4.65","0.55",""
"Mt. Mansfield","1985-05-01","4.28","0.11","Rain"
"Mt. Mansfield","1985-05-05","4.52","0.41","Mixed"
"Mt. Mansfield","1985-05-09","4.30","0.87","Mixed"
"Mt. Mansfield","1985-05-10","4.08","0.20","Mixed"
"Mt. Mansfield","1985-05-11","3.80","0.10","Rain"
"Mt. Mansfield","1985-05-16","3.75","0.39","Rain"
"Mt. Mansfield","1985-05-17","4.25","0.15","Rain"
"Mt. Mansfield","1985-05-18","4.48","1.05","Rain"
"Mt. Mansfield","1985-05-25","4.30","0.13","Rain"
"Mt. Mansfield","1985-05-27","4.30","1.41","Rain"
"Mt. Mansfield","1985-05-28","4.53","0.17","Rain"
"Mt. Mansfield","1985-06-01","4.60","0.52","Rain"
"Mt. Mansfield","1985-06-13","4.55","2.04","Rain"
"Mt. Mansfield","1985-06-14","4.40","0.91","Rain"
"Mt. Mansfield","1985-06-15","4.10","0.10","Rain"
"Mt. Mansfield","1985-06-18","4.18","0.68","Rain"
"Mt. Mansfield","1985-06-27","4.78","0.98","Rain"
"Mt. Mansfield","1985-06-28","4.98","0.58","Rain"
"Mt. Mansfield","1985-06-29","5.03","0.20","Rain"
"Mt. Mansfield","1985-07-04","4.20","2.10","Rain"
"Mt. Mansfield","1985-07-07","4.56","0.48","Rain"
"Mt. Mansfield","1985-07-08","4.76","1.08","Rain"
"Mt. Mansfield","1985-07-11","4.40","0.45","Rain"
"Mt. Mansfield","1985-07-16","4.28","1.86","Rain"
"Mt. Mansfield","1985-07-27","4.34","0.92","Rain"
"Mt. Mansfield","1985-07-29","4.30","0.66","Rain"
"Mt. Mansfield","1985-07-31","4.30","0.05","Rain"
"Mt. Mansfield","1985-08-01","5.12","0.68","Rain"
"Mt. Mansfield","1985-08-08","4.26","0.27","Rain"
"Mt. Mansfield","1985-08-11","3.60","0.34","Rain"
"Mt. Mansfield","1985-08-15","3.88","0.26","Rain"
"Mt. Mansfield","1985-08-16","3.92","0.69","Rain"
"Mt. Mansfield","1985-08-20","4.44","0.91","Rain"
"Mt. Mansfield","1985-08-25","4.06","0.61","Rain"
"Mt. Mansfield","1985-08-28","4.00","0.78","Rain"
"Mt. Mansfield","1985-08-30","3.92","1.15","Rain"
"Mt. Mansfield","1985-08-31","4.06","1.12","Rain"
"Mt. Mansfield","1985-09-02","3.96","0.21","Rain"
"Mt. Mansfield","1985-09-07","4.56","0.33","Rain"
"Mt. Mansfield","1985-09-10","4.65","0.39","Rain"
"Mt. Mansfield","1985-09-24","4.40","0.53","Rain"
"Mt. Mansfield","1985-09-27","4.90","0.70","Rain"
"Mt. Mansfield","1985-09-28","5.60","2.80","Rain"
"Mt. Mansfield","1985-10-02","4.50","0.66","Rain"
"Mt. Mansfield","1985-10-05","4.80","0.73","Rain"
"Mt. Mansfield","1985-10-10","3.95","0.58","Rain"
"Mt. Mansfield","1985-10-11","4.20","0.36","Rain"
"Mt. Mansfield","1985-10-13","4.53","0.71","Rain"
"Mt. Mansfield","1985-10-15","4.20","0.84","Rain"
"Mt. Mansfield","1985-10-19","4.20","0.60","Rain"
"Mt. Mansfield","1985-10-25","4.30","0.22","Rain"
"Mt. Mansfield","1985-11-07","5.55","1.64","Rain"
"Mt. Mansfield","1985-11-29","4.32","2.19","Rain"
"Mt. Mansfield","1985-12-08","3.80","0.14","Snow"
"Mt. Mansfield","1985-12-12","4.62","0.57","Snow"
"Mt. Mansfield","1985-12-14","4.64","0.65","Snow"
"Mt. Mansfield","1985-12-19","4.20","0.44","Snow"
"Mt. Mansfield","1985-12-20","4.26","0.07","Snow"
"Mt. Mansfield","1985-12-22","4.02","0.05","Snow"
"Mt. Mansfield","1985-12-25","4.36","0.73","Snow"
"Mt. Mansfield","1985-12-28","4.44","0.34","Snow"
"Mt. Mansfield","1986-01-01","4.12","0.13","Snow"
"Mt. Mansfield","1986-01-04","4.20","0.12","Snow"
"Mt. Mansfield","1986-01-11","4.37","0.28","Snow"
"Mt. Mansfield","1986-01-15","4.39","0.30","Snow"
"Mt. Mansfield","1986-01-21","5.25","0.55","Snow"
"Mt. Mansfield","1986-01-26","5.56","1.50","Snow"
"Mt. Mansfield","1986-01-30","5.03","1.16","Snow"
"Mt. Mansfield","1986-01-31","4.36","0.25","Snow"
"Mt. Mansfield","1986-02-01","4.14","0.53","Snow"
"Mt. Mansfield","1986-02-16","4.10","0.01","Snow"
"Mt. Mansfield","1986-02-21","4.70","0.75","Snow"
"Mt. Mansfield","1986-03-07","4.15","0.23","Snow"
"Mt. Mansfield","1986-03-13","4.48","1.36","Snow"
"Mt. Mansfield","1986-03-14","4.70","0.50","Snow"
"Mt. Mansfield","1986-03-15","4.90","1.00","Snow"
"Mt. Mansfield","1986-03-19","4.80","0.84","Snow"
"Mt. Mansfield","1986-04-10","4.70","1.08","Snow"
"Mt. Mansfield","1986-04-12","4.50","0.85","Snow"
"Mt. Mansfield","1986-04-17","5.30","1.20","Snow"
"Mt. Mansfield","1986-04-22","4.34","0.43","Rain"
"Mt. Mansfield","1986-05-02","4.25","0.34","Rain"
"Mt. Mansfield","1986-05-08","4.38","1.38","Rain"
"Mt. Mansfield","1986-05-11","4.82","0.12","Rain"
"Mt. Mansfield","1986-05-17","4.31","0.56","Rain"
"Mt. Mansfield","1986-05-18","4.03","0.32","Rain"
"Mt. Mansfield","1986-05-22","4.60","1.50","Rain"
"Mt. Mansfield","1986-05-23","5.10","2.42","Rain"
"Mt. Mansfield","1986-05-24","4.53","0.52","Rain"
"Mt. Mansfield","1986-05-25","4.62","0.16","Rain"
"Mt. Mansfield","1986-05-29","4.93","0.81","Rain"
"Mt. Mansfield","1986-06-01","4.50","0.72","Rain"
"Mt. Mansfield","1986-06-02","4.53","0.10","Rain"
"Mt. Mansfield","1986-06-08","4.44","1.85","Rain"
"Mt. Mansfield","1986-06-12","4.64","1.28","Rain"
"Mt. Mansfield","1986-06-13","4.24","0.42","Rain"
"Mt. Mansfield","1986-06-17","4.40","1.19","Rain"
"Mt. Mansfield","1986-06-23","4.46","0.37","Rain"
"Mt. Mansfield","1986-06-28","4.16","1.57","Rain"
"Mt. Mansfield","1986-07-03","4.82","1.33","Rain"
"Mt. Mansfield","1986-07-04","5.45","0.23","Rain"
"Mt. Mansfield","1986-07-05","4.30","1.30","Rain"
"Mt. Mansfield","1986-07-12","4.36","0.25","Rain"
"Mt. Mansfield","1986-07-13","5.03","0.40","Rain"
"Mt. Mansfield","1986-07-14","4.92","1.70","Rain"
"Mt. Mansfield","1986-07-26","4.25","1.21","Rain"
"Mt. Mansfield","1986-07-28","4.41","0.26","Rain"
"Mt. Mansfield","1986-07-31","4.60","0.61","Rain"
"Mt. Mansfield","1986-08-04","4.34","0.99","Rain"
"Mt. Mansfield","1986-08-07","4.00","1.03","Rain"
